[12:46:34] [info] Immortal: Creating window Vulkan Test (1920, 1080)
[12:46:34] [info] Immortal: VK_KHR_get_physical_device_properties2 is available. Enabling it!
[12:46:34] [info] Immortal: VK_EXT_debug_utils is available. Enabling it!
[12:46:35] [info] Immortal: Enabled Validation Layers: 
[12:46:35] [info] Immortal:   	VK_LAYER_KHRONOS_synchronization2
[12:46:35] [info] Immortal:   	VK_LAYER_KHRONOS_validation
[12:46:35] [info] Immortal:   	VK_LAYER_LUNARG_monitor
[12:46:35] [info] Immortal: Found GPU: NVIDIA GeForce RTX 2060
[12:46:35] [info] Immortal: Selected GPU: NVIDIA GeForce RTX 2060
[12:46:35] [info] Immortal: Device supports the following extensions: 
[12:46:35] [info] Immortal:   	VK_KHR_16bit_storage
[12:46:35] [info] Immortal:   	VK_KHR_8bit_storage
[12:46:35] [info] Immortal:   	VK_KHR_acceleration_structure
[12:46:35] [info] Immortal:   	VK_KHR_bind_memory2
[12:46:35] [info] Immortal:   	VK_KHR_buffer_device_address
[12:46:35] [info] Immortal:   	VK_KHR_copy_commands2
[12:46:35] [info] Immortal:   	VK_KHR_create_renderpass2
[12:46:35] [info] Immortal:   	VK_KHR_dedicated_allocation
[12:46:35] [info] Immortal:   	VK_KHR_deferred_host_operations
[12:46:35] [info] Immortal:   	VK_KHR_depth_stencil_resolve
[12:46:35] [info] Immortal:   	VK_KHR_descriptor_update_template
[12:46:35] [info] Immortal:   	VK_KHR_device_group
[12:46:35] [info] Immortal:   	VK_KHR_draw_indirect_count
[12:46:35] [info] Immortal:   	VK_KHR_driver_properties
[12:46:35] [info] Immortal:   	VK_KHR_external_fence
[12:46:35] [info] Immortal:   	VK_KHR_external_fence_win32
[12:46:35] [info] Immortal:   	VK_KHR_external_memory
[12:46:35] [info] Immortal:   	VK_KHR_external_memory_win32
[12:46:35] [info] Immortal:   	VK_KHR_external_semaphore
[12:46:35] [info] Immortal:   	VK_KHR_external_semaphore_win32
[12:46:35] [info] Immortal:   	VK_KHR_fragment_shading_rate
[12:46:35] [info] Immortal:   	VK_KHR_get_memory_requirements2
[12:46:35] [info] Immortal:   	VK_KHR_image_format_list
[12:46:35] [info] Immortal:   	VK_KHR_imageless_framebuffer
[12:46:35] [info] Immortal:   	VK_KHR_maintenance1
[12:46:35] [info] Immortal:   	VK_KHR_maintenance2
[12:46:35] [info] Immortal:   	VK_KHR_maintenance3
[12:46:35] [info] Immortal:   	VK_KHR_multiview
[12:46:35] [info] Immortal:   	VK_KHR_pipeline_executable_properties
[12:46:35] [info] Immortal:   	VK_KHR_pipeline_library
[12:46:35] [info] Immortal:   	VK_KHR_push_descriptor
[12:46:35] [info] Immortal:   	VK_KHR_ray_query
[12:46:35] [info] Immortal:   	VK_KHR_ray_tracing_pipeline
[12:46:35] [info] Immortal:   	VK_KHR_relaxed_block_layout
[12:46:35] [info] Immortal:   	VK_KHR_sampler_mirror_clamp_to_edge
[12:46:35] [info] Immortal:   	VK_KHR_sampler_ycbcr_conversion
[12:46:35] [info] Immortal:   	VK_KHR_separate_depth_stencil_layouts
[12:46:35] [info] Immortal:   	VK_KHR_shader_atomic_int64
[12:46:35] [info] Immortal:   	VK_KHR_shader_clock
[12:46:35] [info] Immortal:   	VK_KHR_shader_draw_parameters
[12:46:35] [info] Immortal:   	VK_KHR_shader_float16_int8
[12:46:35] [info] Immortal:   	VK_KHR_shader_float_controls
[12:46:35] [info] Immortal:   	VK_KHR_shader_non_semantic_info
[12:46:35] [info] Immortal:   	VK_KHR_shader_subgroup_extended_types
[12:46:35] [info] Immortal:   	VK_KHR_shader_terminate_invocation
[12:46:35] [info] Immortal:   	VK_KHR_spirv_1_4
[12:46:35] [info] Immortal:   	VK_KHR_storage_buffer_storage_class
[12:46:35] [info] Immortal:   	VK_KHR_swapchain
[12:46:35] [info] Immortal:   	VK_KHR_swapchain_mutable_format
[12:46:35] [info] Immortal:   	VK_KHR_synchronization2
[12:46:35] [info] Immortal:   	VK_KHR_timeline_semaphore
[12:46:35] [info] Immortal:   	VK_KHR_uniform_buffer_standard_layout
[12:46:35] [info] Immortal:   	VK_KHR_variable_pointers
[12:46:35] [info] Immortal:   	VK_KHR_vulkan_memory_model
[12:46:35] [info] Immortal:   	VK_KHR_win32_keyed_mutex
[12:46:35] [info] Immortal:   	VK_KHR_workgroup_memory_explicit_layout
[12:46:35] [info] Immortal:   	VK_KHR_zero_initialize_workgroup_memory
[12:46:35] [info] Immortal:   	VK_EXT_4444_formats
[12:46:35] [info] Immortal:   	VK_EXT_blend_operation_advanced
[12:46:35] [info] Immortal:   	VK_EXT_buffer_device_address
[12:46:35] [info] Immortal:   	VK_EXT_calibrated_timestamps
[12:46:35] [info] Immortal:   	VK_EXT_conditional_rendering
[12:46:35] [info] Immortal:   	VK_EXT_conservative_rasterization
[12:46:35] [info] Immortal:   	VK_EXT_custom_border_color
[12:46:35] [info] Immortal:   	VK_EXT_depth_clip_enable
[12:46:35] [info] Immortal:   	VK_EXT_depth_range_unrestricted
[12:46:35] [info] Immortal:   	VK_EXT_descriptor_indexing
[12:46:35] [info] Immortal:   	VK_EXT_discard_rectangles
[12:46:35] [info] Immortal:   	VK_EXT_extended_dynamic_state
[12:46:35] [info] Immortal:   	VK_EXT_external_memory_host
[12:46:35] [info] Immortal:   	VK_EXT_fragment_shader_interlock
[12:46:35] [info] Immortal:   	VK_EXT_full_screen_exclusive
[12:46:35] [info] Immortal:   	VK_EXT_hdr_metadata
[12:46:35] [info] Immortal:   	VK_EXT_host_query_reset
[12:46:35] [info] Immortal:   	VK_EXT_image_robustness
[12:46:35] [info] Immortal:   	VK_EXT_index_type_uint8
[12:46:35] [info] Immortal:   	VK_EXT_inline_uniform_block
[12:46:35] [info] Immortal:   	VK_EXT_line_rasterization
[12:46:35] [info] Immortal:   	VK_EXT_memory_budget
[12:46:35] [info] Immortal:   	VK_EXT_memory_priority
[12:46:35] [info] Immortal:   	VK_EXT_pci_bus_info
[12:46:35] [info] Immortal:   	VK_EXT_pipeline_creation_cache_control
[12:46:35] [info] Immortal:   	VK_EXT_pipeline_creation_feedback
[12:46:35] [info] Immortal:   	VK_EXT_post_depth_coverage
[12:46:35] [info] Immortal:   	VK_EXT_private_data
[12:46:35] [info] Immortal:   	VK_EXT_robustness2
[12:46:35] [info] Immortal:   	VK_EXT_sample_locations
[12:46:35] [info] Immortal:   	VK_EXT_sampler_filter_minmax
[12:46:35] [info] Immortal:   	VK_EXT_scalar_block_layout
[12:46:35] [info] Immortal:   	VK_EXT_separate_stencil_usage
